#,x,y,E,Width,Length,Iterations
34.0,0.01,5.0,1641063.0,,,
35.0,0.01,5.0,1641063.0,,,
35.0,0.06219158028809495,5.558363078217666,1377037.873530676,,,
36.0,0.01,5.0,1641063.0,,,
37.0,0.01,5.0,1641063.0,,,
38.0,0.01,5.0,1641063.0,,,
39.0,0.01,5.0,1641063.0,,,
39.0,0.35846600871807444,4.129220714769241,1427941.1276018654,,,
39.0,4.1354564526692785,3.291931428705517,1344316.1059995564,,,
40.0,0.01,5.0,1641063.0,,,
41.0,0.01,5.0,1641063.0,,,
42.0,0.01,5.0,1641063.0,,,
42.0,9.12252129554735,2.1116220064504274,1497076.3951306466,,,
43.0,0.01,5.0,1641063.0,,,
44.0,0.01,5.0,1641063.0,,,
44.0,7.711016168914331,5.135514900220432,1647683.1110123238,,,
44.0,7.318730141081604,3.355895117959866,1328120.0912608434,,,
45.0,0.01,5.0,1641063.0,,,
46.0,0.01,5.0,1641063.0,,,
47.0,0.01,5.0,1641063.0,,,
47.0,5.132160031010708,2.0246261881474776,1522681.58027251,,,
48.0,0.01,5.0,1641063.0,,,
49.0,0.01,5.0,1641063.0,,,
50.0,0.01,5.0,1641063.0,,,
51.0,0.01,5.0,1641063.0,,,
51.0,0.06898147626530486,4.9281501297502555,659310.1571853744,,,
52.0,0.01,5.0,1641063.0,,,
53.0,0.01,5.0,1641063.0,,,
54.0,0.01,5.0,1641063.0,,,
54.0,6.032224893855951,7.380533026816215,1424505.2552411119,,,
55.0,0.01,5.0,1641063.0,,,
55.0,1.2743135293027588,3.8318640762936704,885908.7857717838,,,
55.0,1.306555341370535,5.374970798214735,736415.7522196175,,,
56.0,0.01,5.0,1641063.0,,,
56.0,0.5127541987575815,4.9617380807662395,1638663.6015227935,,,
57.0,0.01,5.0,1641063.0,,,
58.0,0.01,5.0,1641063.0,,,
59.0,0.01,5.0,1641063.0,,,
59.0,1.1786816275244927,4.692512975286103,1541029.2014021475,,,
60.0,0.01,5.0,1641063.0,,,
61.0,0.01,5.0,1641063.0,,,
62.0,0.01,5.0,1641063.0,,,
62.0,2.309795545901394,5.501788674998401,1572975.8677062697,,,
63.0,0.01,5.0,1641063.0,,,
63.0,3.442002236186805,6.515627178886445,1378061.5920358812,,,
63.0,4.1801404089540375,5.9973795132700545,1270972.8501131784,,,
63.0,7.540535178549408,5.15244217230942,1200267.6132200414,,,
64.0,0.01,5.0,1641063.0,,,
65.0,0.01,5.0,1641063.0,,,
65.0,1.095099381413057,5.5766400152511935,1283683.1474459926,,,
66.0,0.01,5.0,1641063.0,,,
67.0,0.01,5.0,1641063.0,,,
68.0,0.01,5.0,1641063.0,,,
68.0,0.06558976930993114,4.4894991142581775,1379766.7530976327,,,
69.0,0.01,5.0,1641063.0,,,
70.0,0.01,5.0,1641063.0,,,
71.0,0.01,5.0,1641063.0,,,
72.0,0.01,5.0,1641063.0,,,
72.0,2.7765910360541146,2.6393603438592934,950803.2723823643,,,
73.0,0.01,5.0,1641063.0,,,
73.0,2.4394125384114744,7.0896063451756195,1501703.0449488736,,,
74.0,0.01,5.0,1641063.0,,,
74.0,0.323885378494498,5.213830648516634,1123510.9586954867,,,
75.0,0.01,5.0,1641063.0,,,
76.0,0.01,5.0,1641063.0,,,
77.0,0.01,5.0,1641063.0,,,
77.0,3.8894441556895396,4.832760063445519,1645125.0715618492,,,
77.0,7.101639345584229,0.9596337866649103,669138.1317708384,,,
78.0,0.01,5.0,1641063.0,,,
79.0,0.01,5.0,1641063.0,,,
80.0,0.01,5.0,1641063.0,,,
80.0,1.7666278532237842,3.640577273106723,1028187.6674997763,,,
81.0,0.01,5.0,1641063.0,,,
82.0,0.01,5.0,1641063.0,,,
82.0,8.886461816990744,7.165027670658306,1543996.4528249465,,,
83.0,0.01,5.0,1641063.0,,,
84.0,0.01,5.0,1641063.0,,,
85.0,0.01,5.0,1641063.0,,,
