#,x,y,E,Width,Length,Iterations
81.0,0.01,5.0,1641063.0,,,
81.0,0.740235570369059,4.601195946251799,1267919.8967570122,,,
81.0,0.8421424045180527,3.3442676051714746,1062229.9559183961,,,
81.0,1.1002983038967318,3.2702698117724687,985499.9146765751,,,
81.0,2.3171945823049223,5.203689176224312,277796.86292278377,,,
82.0,0.01,5.0,1641063.0,,,
82.0,0.8323436198779212,4.1049631698732005,750622.6450245182,,,
83.0,0.01,5.0,1641063.0,,,
84.0,0.01,5.0,1641063.0,,,
85.0,0.01,5.0,1641063.0,,,
85.0,2.157860533437829,3.5563368858862563,1133099.7881267767,,,
85.0,5.766771485454157,6.555285065257165,671180.6131210244,,,
85.0,6.166398836928129,5.977609745357126,216226.5711481415,,,
86.0,0.01,5.0,1641063.0,,,
87.0,0.01,5.0,1641063.0,,,
87.0,0.6344905242585606,4.432129495192791,1498131.4619687349,,,
88.0,0.01,5.0,1641063.0,,,
89.0,0.01,5.0,1641063.0,,,
89.0,2.1062580980427046,8.342199369258964,1457990.566508933,,,
90.0,0.01,5.0,1641063.0,,,
90.0,3.300664446317121,3.3595457215777795,1318713.215565688,,,
90.0,3.9369884108272197,3.54118937890113,1224224.7554973767,,,
91.0,0.01,5.0,1641063.0,,,
91.0,3.2529843558147893,7.468885490858517,1040846.7736910711,,,
92.0,0.01,5.0,1641063.0,,,
92.0,9.861807306921197,1.1193565821243814,1425864.342800592,,,
93.0,0.01,5.0,1641063.0,,,
93.0,0.04374869226155615,5.039242304134897,696679.9725881943,,,
94.0,0.01,5.0,1641063.0,,,
95.0,0.01,5.0,1641063.0,,,
96.0,0.01,5.0,1641063.0,,,
96.0,1.8543203192850242,2.0348807395867987,454677.6414670959,,,
97.0,0.01,5.0,1641063.0,,,
97.0,0.1867555226921304,5.114681877010579,1157821.1673869444,,,
98.0,0.01,5.0,1641063.0,,,
98.0,1.6245017391523817,3.6033806284036123,939712.9434791162,,,
99.0,0.01,5.0,1641063.0,,,
99.0,0.8575327039905025,4.624915906871549,1377094.8277477855,,,
100.0,0.01,5.0,1641063.0,,,
100.0,1.1175853920964778,4.249806781072546,1127632.99227409,,,
100.0,0.9617849373001155,3.5116500596410756,909969.1483505289,,,
100.0,3.011078254484566,3.355011084276482,858998.9027159443,,,
101.0,0.01,5.0,1641063.0,,,
101.0,0.9740150245858206,6.460607279032342,1461700.21922622,,,
101.0,1.8812988301591513,6.578297875507378,1443655.4440898239,,,
101.0,3.3165104573248314,8.8319088240624,413942.73905335215,,,
102.0,0.01,5.0,1641063.0,,,
103.0,0.01,5.0,1641063.0,,,
103.0,0.8787751377013926,5.175425773781305,1583349.6753426632,,,
103.0,6.856849466397666,8.148213543260956,1475013.3850341353,,,
104.0,0.01,5.0,1641063.0,,,
104.0,6.15523205667119,3.040581010918675,1540228.5779863189,,,
104.0,6.8155951954934775,2.3522407360933135,1397397.4282365884,,,
105.0,0.01,5.0,1641063.0,,,
105.0,0.63909219929308,3.302071797305911,192683.95012234806,,,
106.0,0.01,5.0,1641063.0,,,
107.0,0.01,5.0,1641063.0,,,
107.0,1.3206299395715653,2.0318422216246796,262982.9395720659,,,
108.0,0.01,5.0,1641063.0,,,
108.0,0.5710316424382835,4.3018050609104375,642371.2057727411,,,
109.0,0.01,5.0,1641063.0,,,
